"postId","postTitle","post_clicks","post_reactions_like_total","post_reactions_love_total","post_reactions_wow_total","post_reactions_haha_total","post_reactions_sorry_total","post_reactions_anger_total"
"677224422303088_1398172578159239","Wat heeft gezondheid met de weg naar een gelukkig leven te maken? door Nick van Ruiten

Of je al dan niet een gelukkig leven leidt, hangt voor een groot deel aan jezelf af en van een gezond lichaam. Alle reden om te zorgen voor optimale gezondheid.

",0,0,0,0,0,0,0
"677224422303088_1398171924825971","Wat zijn de verschillen tussen een natuurlijke en een farmaceutische aanpak?

We leven in een maatschappij waar de medisch-farmaceutische aanpak nog steeds domineert. Maar wat is een natuurlijke aanpak?

",1,0,0,0,0,0,0
"677224422303088_1394805841829246","Dinsdag 15 april geeft Drs. Nick van Ruiten een presentatie in Barendrecht: 
""Wat je niet mag weten over je gezondheid""

Tijdens deze avond krijg je meer inzicht in:
- Waarom de farmaceutische industrie geen belang heeft bij échte gezondheid
- Hoe je symptomen op een natuurlijke manier kunt verhelpen en voorkomen
- De 11 essentiële onderdelen van een gezonde levensstijl
- Waarom voeding en vitamines vaak onterecht in een negatief daglicht worden gebracht
- Hoe jij jouw energie, gezondheid en prestaties kunt optimaliseren

En nog veel meer!

📅 Datum: Dinsdag 15 april
📍 Locatie: Boerhaavelaan 1, 2992 KB Barendrecht
⏰ Deuren open: 19:00 | Start lezing: 19:30
🎟 Toegang: €10

Bestel je ticket hier: https://www.eventbrite.com/e/wat-je-niet-mag-weten-over-je-gezondheid-tickets-1112868412379?

Een inspirerende avond vol waardevolle inzichten die je niet wilt missen! 
Kom langs en ontdek hoe je zelf meer grip krijgt op jouw gezondheid.

📩 Tag een vriend die je mee wilt nemen!

#Gezondheid #Lezing #FreeChoice #WatJeNietMagWeten #Barendrecht #gezondelevensstijl",0,1,0,0,0,0,0
"677224422303088_1392065762103254","Wanneer komt de MAHA Gezondheidsrevolutie naar Nederland?

Via talloze mediakanalen hebben we het allemaal kunnen lezen en kunnen we het erover eens zijn dat MAHA gezondheidsrevolutie in Amerika hard nodig is.
Maar hoe zit dat bij ons in Nederland en Europa?

",0,0,0,0,0,0,0
"677224422303088_1380985139877983","Hoe voorkom je kwaaltjes?

Je creëert je eigen geluk. Gezondheid is daarbij een heel belangrijk uitgangspunt. Maar een mensenleven kan al snel door kleine kwaaltjes overschaduwd worden.
We zijn allemaal op zoek naar plezier en geluk in het leven. Een gezond lichaam draagt hier enorm aan bij. Kleine kwaaltjes daarentegen kunnen je streven naar plezier en geluk al flink overschaduwen. In deze blog ga ik in op hoe een verstoring van de harmonie in je lichaam kleine kwaaltjes kunnen veroorzaken.

Het Belangrijkste Effect

Wanneer je iemand snel en effectief wilt helpen, is de sleutel om precies dát effect te bereiken dat voor zijn of haar gezondheid het belangrijkst is.

Het lichaam kan op talloze manieren positief gestimuleerd worden. Alle aspecten van een gezonde levensstijl dragen hieraan bij. Toch heb ik ervaren dat vitaminen, mineralen en spoorelementen vaak de krachtigste en snelste impact hebben op het fysieke welzijn.

24 uur per dag vinden er in de lichaamscellen een onvoorstelbaar aantal biologische processen plaats. Wetenschappers schatten dat er duizenden biochemische reacties per seconde plaatsvinden in slechts één enkele cel. Aangezien het menselijk lichaam uit ongeveer 30 biljoen (30.000.000.000.000) cellen bestaat, betekent dit dat deze processen voortdurend, op enorme schaal, parallel verlopen.

Je lichaam functioneert als een uiterst verfijnde biochemische fabriek, een complex systeem waarin alles nauwkeurig op elkaar is afgestemd. Het is als een uurwerk waarvan alle tandwieltjes perfect moeten samenwerken om goed te kunnen functioneren. Elk onderdeel moet precies doen waar het voor ontworpen is.

",0,0,0,0,0,0,0
"677224422303088_1380768889899608","De kracht van krillolie, vitamine E, omega 3 en Q10

De unieke combinatie van krillolie, vitamine E en Ubiquinol Q10 biedt een beschermende en ondersteunende rol voor de gezondheid van elke lichaamscel.

Krillolie1¹ (met onder andere omega 3², astaxantine³ en choline⁴), vitamine E (in alle  8 vormen) en Ubiquinol⁵ (de best opneembare vorm van co-enzym Q10) zijn krachtige antioxidanten, voedingsstoffen die lichaamscellen en weefsels in het lichaam beschermen. 

Elk van deze voedingsstoffen heeft daarnaast ook nog andere functies in belangrijke lichaamsprocessen. Door deze drie oliën te combineren versterken ze elkaars werking en zorgen ze voor een goede opname, krachtige bescherming en essentiële ondersteuning van al onze lichaamscellen en weefsels. In deze blog ga ik dieper op het belang van deze oliën in en waarom die Multi Oils een mooie aanvulling is op de FreeChoice Formule. 

Het is een wat technischere blog. Ik heb alles zo eenvoudig mogelijk proberen uit te leggen en de wat moeilijkere woorden zoveel mogelijk vermeden. In voetnoten heb ik veel woorden gedefinieerd om het zo begrijpelijk mogelijk te maken. 

",2,0,0,0,0,0,0
"677224422303088_1371198880856609","Hoe werkt het hart?

Ontdek hoe het hart werkt, de anatomie, en welke functies het vervult. Leer wat goed is voor een gezond hart en hoe je het kunt ondersteunen met de juiste voeding en supplementen.

Het hart is hét symbool van Valentijnsdag omdat het al eeuwenlang wordt geassocieerd met liefde en romantiek. Het hart is ook één van de belangrijkste organen van je lichaam. Het is een krachtige spier die verantwoordelijk is voor het rondpompen van al het bloed zodat alle organen en weefsels van zuurstof en voedingstoffen worden voorzien. In deze blog kijken we naar alle functies van het hart, hoe het is opgebouwd en hoe je je hart met een gezonde levensstijl en de juiste voedingsstoffen kunt ondersteunen.

",0,0,0,0,0,0,0
"677224422303088_1366355761340921","𝗪𝗮𝘁 𝗷𝗲 𝗻𝗶𝗲𝘁 𝗺𝗮𝗴 𝘄𝗲𝘁𝗲𝗻 𝗼𝘃𝗲𝗿 𝗷𝗲 𝗴𝗲𝘇𝗼𝗻𝗱𝗵𝗲𝗶𝗱 🧬🩺

Ontdek op 12 februari 2025 hoe je jouw gezondheid naar een hoger niveau kunt tillen tijdens een interessante presentatie door Drs. Nick van Ruiten in Tilburg.

Tijdens deze presentatie krijg je inzicht in onderwerpen zoals:

✅ Waarom de farmaceutische industrie niet naar gezondheid leidt.

✅ Hoe je symptomen effectief kunt voorkomen in plaats van alleen bestrijden.

✅ Wat de essentiële elementen zijn voor een gezonde levensstijl.

✅ En nog veel meer cruciale gezondheidsinzichten!

📅 Datum: 12 februari 2025
🎟 Tickets: Koop ze vooraf via de link of aan de deur.

We zien je graag op 12 februari! 

Tag iemand die deze lezing niet mag missen. 
 

🔗 Meld je hier aan: https://www.eventbrite.com/e/wat-je-niet-mag-weten-over-je-gezondheid-tickets-1112650911829?aff=ebdssbdestsearch&keep_tld=1&fbclid=IwY2xjawISWgZleHRuA2FlbQIxMAABHX7JJcRPJr-muLe6TqwuTkUlHomv_s3RgBLwSs9CD6vdka3X70EkSWk5tA_aem_43hGbpQ7YAq2B3-PPYeyfg",1,0,0,0,0,0,0
"677224422303088_1365815261394971","Hoe houd je je botten sterk?

Het skelet, de basisstructuur van je lichaam, bestaat uit maar liefst 206 botten die het lichaam ondersteunen en waar mineralen worden opgeslagen. 

In het eerste deel van mijn studie geneeskunde was anatomie een van de belangrijke vakken. In het eerste jaar lag de nadruk op het bestuderen en tekenen van alle botjes in het lichaam. Al die botjes hebben een functie en dat geldt ook voor elk bobbeltje, gleufje en gaatje dat erin zit. Het skelet vormt de basisstructuur van ons lichaam en biedt stevigheid (hardheid), flexibiliteit (buigzaamheid), bescherming en ondersteuning. Als je zorgt voor een goede levensstijl met alle benodigde bot-opbouwende en ondersteunende voedingsstoffen, dan kun je tot op hoge leeftijd sterke botten  behouden. In deze blog ga ik in op wat nodig is om je skelet in een goede conditie te houden. 

Lees meer in de blog
",0,0,0,0,0,0,0
"677224422303088_1360518081924689","Wat doet alcohol met je lichaam?
Talloze mensen deden onlangs een poging om Dry January te doen, de hele maand januari geen druppel alcohol te drinken. Stel dat het je goed bevalt; zou je dan desondanks toch weer alcohol gaan drinken?

Eind vorig jaar sprak ik een man die vorig jaar met groot succes had deelgenomen aan ‘Dry January’. Hij voelde zich beter en kreeg daardoor veel meer energie. Toch is hij in februari weer begonnen met z’n biertje en wijntje met als gevolg dat zijn energieniveau weer afnam. Omdat het goed beviel doet hij weer mee aan ‘Dry January’. Dit keer overweegt hij echter serieus om door te zetten en er een ‘Dry’ leven van te maken. Veel mensen denken dat je alcohol niet met een drug³ (geestverruimend en verslavend middel)  kunt vergelijken maar dat is het zeker wel. Het vormt ‘tevens een grote risicofactor op een scala aan aandoeningen, waaronder kanker. In deze blog ga ik in op de invloed die alcohol kan hebben op je lichaam en waarom een ‘Dry’ leven nog niet eens zo heel gek idee is.

",2,0,0,0,0,0,0
