"name","period","end_time","value"
"page_fans_city","day","2024-01-07T08:00:00+0000","{""Dunakeszi, Hongarije"":5,""Zwolle"":5,""Szombathely, Hongarije"":5,""Hoofddorp"":6,""Haarlem"":6,""Siklós, Hongarije"":6,""Salgótarján, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Jászberény, Hongarije"":6,""Ajka, Hongarije"":6,""Dombóvár, Hongarije"":7,""Szigetszentmiklós, Hongarije"":7,""Weert"":7,""Hilversum"":7,""Kiskunhalas, Hongarije"":7,""Almere"":7,""Alphen aan den Rijn"":7,""Apeldoorn"":7,""Százhalombatta, Hongarije"":7,""Gyula, Hongarije"":8,""Székesfehérvár, Hongarije"":8,""Komló, Hongarije"":8,""Veszprém, Hongarije"":9,""Eger, Hongarije"":9,""Vác, Hongarije"":9,""Baja, Hongarije"":10,""Győr, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Nagykanizsa, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":12,""Szolnok, Hongarije"":14,""Tatabánya, Hongarije"":15,""Kecskemét, Hongarije"":16,""Sopron, Hongarije"":16,""Rotterdam"":16,""Den Haag"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":23,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":35,""Amsterdam"":43,""Boedapest, Hongarije"":206}"
"page_fans_city","day","2024-01-14T08:00:00+0000","{""Antwerpen, België"":5,""Pápa, Hongarije"":5,""Nagykőrös, Hongarije"":5,""Gödöllő, Hongarije"":6,""Salgótarján, Hongarije"":6,""Jászberény, Hongarije"":6,""Hoofddorp"":6,""Ajka, Hongarije"":6,""Haarlem"":6,""Siklós, Hongarije"":6,""Alphen aan den Rijn"":7,""Százhalombatta, Hongarije"":7,""Apeldoorn"":7,""Weert"":7,""Szigetszentmiklós, Hongarije"":7,""Kiskunhalas, Hongarije"":7,""Hilversum"":7,""Dombóvár, Hongarije"":7,""Veszprém, Hongarije"":8,""Gyula, Hongarije"":8,""Székesfehérvár, Hongarije"":8,""Győr, Hongarije"":8,""Komló, Hongarije"":8,""Almere"":8,""Vác, Hongarije"":9,""Eger, Hongarije"":9,""Baja, Hongarije"":10,""Nagykanizsa, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Szolnok, Hongarije"":14,""Raab, Hungary"":14,""Tatabánya, Hongarije"":15,""Den Haag"":15,""Kecskemét, Hongarije"":15,""Rotterdam"":16,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":23,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":34,""Amsterdam"":44,""Boedapest, Hongarije"":208}"
"page_fans_city","day","2024-01-21T08:00:00+0000","{""Szombathely, Hongarije"":5,""Gödöllő, Hongarije"":6,""Salgótarján, Hongarije"":6,""Jászberény, Hongarije"":6,""Szigetszentmiklós, Hongarije"":6,""Haarlem"":6,""Hoofddorp"":6,""'s-Hertogenbosch"":6,""Ajka, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Siklós, Hongarije"":6,""Apeldoorn"":6,""Alphen aan den Rijn"":7,""Százhalombatta, Hongarije"":7,""Weert"":7,""Kiskunhalas, Hongarije"":7,""Almere"":7,""Hilversum"":7,""Dombóvár, Hongarije"":7,""Gyula, Hongarije"":8,""Székesfehérvár, Hongarije"":8,""Veszprém, Hongarije"":8,""Komló, Hongarije"":8,""Vác, Hongarije"":9,""Békéscsaba, Hongarije"":9,""Eger, Hongarije"":9,""Nagykanizsa, Hongarije"":10,""Baja, Hongarije"":10,""Győr, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Szolnok, Hongarije"":14,""Den Haag"":15,""Tatabánya, Hongarije"":15,""Kecskemét, Hongarije"":15,""Rotterdam"":16,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":22,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":35,""Amsterdam"":45,""Boedapest, Hongarije"":209}"
"page_fans_city","day","2024-01-28T08:00:00+0000","{""Gent, België"":5,""Zalaegerszeg, Hongarije"":5,""Gödöllő, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Salgótarján, Hongarije"":6,""Jászberény, Hongarije"":6,""Haarlem"":6,""Szigetszentmiklós, Hongarije"":6,""Ajka, Hongarije"":6,""Hoofddorp"":6,""Siklós, Hongarije"":6,""Alphen aan den Rijn"":7,""Százhalombatta, Hongarije"":7,""Weert"":7,""Apeldoorn"":7,""Kiskunhalas, Hongarije"":7,""Dombóvár, Hongarije"":7,""Hilversum"":7,""Almere"":7,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Komló, Hongarije"":8,""Veszprém, Hongarije"":8,""Eger, Hongarije"":9,""Békéscsaba, Hongarije"":9,""Nagykanizsa, Hongarije"":9,""Vác, Hongarije"":9,""Győr, Hongarije"":10,""Baja, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Tatabánya, Hongarije"":14,""Szolnok, Hongarije"":14,""Kecskemét, Hongarije"":15,""Rotterdam"":15,""Den Haag"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":35,""Amsterdam"":44,""Boedapest, Hongarije"":211}"
"page_fans_city","day","2024-02-04T08:00:00+0000","{""Kisvárda, Hongarije"":5,""Gödöllő, Hongarije"":6,""Antwerpen, België"":6,""Salgótarján, Hongarije"":6,""Jászberény, Hongarije"":6,""Siklós, Hongarije"":6,""Haarlem"":6,""Szigetszentmiklós, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Ajka, Hongarije"":6,""Dombóvár, Hongarije"":7,""Weert"":7,""Százhalombatta, Hongarije"":7,""Hoofddorp"":7,""Alphen aan den Rijn"":7,""Apeldoorn"":7,""Kiskunhalas, Hongarije"":7,""Hilversum"":7,""Almere"":7,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Eger, Hongarije"":8,""Komló, Hongarije"":8,""Nagykanizsa, Hongarije"":9,""Veszprém, Hongarije"":9,""Vác, Hongarije"":9,""Győr, Hongarije"":10,""Baja, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Szolnok, Hongarije"":14,""Kecskemét, Hongarije"":14,""Tatabánya, Hongarije"":14,""Rotterdam"":15,""Den Haag"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":35,""Amsterdam"":44,""Boedapest, Hongarije"":210}"
"page_fans_city","day","2024-02-11T08:00:00+0000","{""Gödöllő, Hongarije"":6,""Ajka, Hongarije"":6,""Jászberény, Hongarije"":6,""Salgótarján, Hongarije"":6,""Szigetszentmiklós, Hongarije"":6,""Haarlem"":6,""Hajdúszoboszló, Hongarije"":6,""Cegléd, Hongarije"":6,""Siklós, Hongarije"":6,""Kazincbarcika, Hongarije"":6,""Alphen aan den Rijn"":7,""Dombóvár, Hongarije"":7,""Apeldoorn"":7,""Hoofddorp"":7,""Weert"":7,""Kiskunhalas, Hongarije"":7,""Hilversum"":7,""Almere"":7,""Eger, Hongarije"":8,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Komló, Hongarije"":8,""Százhalombatta, Hongarije"":8,""Vác, Hongarije"":9,""Nagykanizsa, Hongarije"":9,""Győr, Hongarije"":9,""Veszprém, Hongarije"":9,""Baja, Hongarije"":10,""Békéscsaba, Hongarije"":11,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Szolnok, Hongarije"":14,""Kecskemét, Hongarije"":14,""Den Haag"":15,""Tatabánya, Hongarije"":15,""Rotterdam"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Szeged, Hongarije"":21,""Nyíregyháza, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":35,""Amsterdam"":43,""Boedapest, Hongarije"":211}"
"page_fans_city","day","2024-02-18T08:00:00+0000","{""Gödöllő, Hongarije"":6,""Kazincbarcika, Hongarije"":6,""Szigetszentmiklós, Hongarije"":6,""Salgótarján, Hongarije"":6,""Ajka, Hongarije"":6,""Jászberény, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Siklós, Hongarije"":6,""Cegléd, Hongarije"":6,""Haarlem"":7,""Százhalombatta, Hongarije"":7,""Hoofddorp"":7,""Kiskunhalas, Hongarije"":7,""Dombóvár, Hongarije"":7,""Weert"":7,""Hilversum"":7,""Alphen aan den Rijn"":7,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Komló, Hongarije"":8,""Apeldoorn"":8,""Almere"":8,""Vác, Hongarije"":9,""Eger, Hongarije"":9,""Veszprém, Hongarije"":9,""Baja, Hongarije"":10,""Győr, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Nagykanizsa, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Kecskemét, Hongarije"":14,""Szolnok, Hongarije"":14,""Tatabánya, Hongarije"":15,""Rotterdam"":15,""Den Haag"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":36,""Amsterdam"":43,""Boedapest, Hongarije"":211}"
"page_fans_city","day","2024-02-25T08:00:00+0000","{""Pásztó, Hongarije"":5,""Gödöllő, Hongarije"":6,""Ajka, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Salgótarján, Hongarije"":6,""Siklós, Hongarije"":6,""Kazincbarcika, Hongarije"":6,""Jászberény, Hongarije"":6,""Szigetszentmiklós, Hongarije"":6,""Weert"":6,""Kiskunhalas, Hongarije"":7,""Hoofddorp"":7,""Dombóvár, Hongarije"":7,""Százhalombatta, Hongarije"":7,""Hilversum"":7,""Alphen aan den Rijn"":7,""Komló, Hongarije"":8,""Almere"":8,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Haarlem"":8,""Veszprém, Hongarije"":8,""Apeldoorn"":8,""Vác, Hongarije"":9,""Eger, Hongarije"":9,""Nagykanizsa, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Baja, Hongarije"":10,""Győr, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Szolnok, Hongarije"":14,""Kecskemét, Hongarije"":14,""Rotterdam"":15,""Den Haag"":15,""Tatabánya, Hongarije"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":37,""Amsterdam"":42,""Boedapest, Hongarije"":215}"
"page_fans_city","day","2024-03-03T08:00:00+0000","{""Pápa, Hongarije"":5,""Gödöllő, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Jászberény, Hongarije"":6,""Kazincbarcika, Hongarije"":6,""Weert"":6,""Alphen aan den Rijn"":6,""Ajka, Hongarije"":6,""Siklós, Hongarije"":6,""Salgótarján, Hongarije"":6,""Százhalombatta, Hongarije"":7,""Hoofddorp"":7,""Kiskunhalas, Hongarije"":7,""Szigetszentmiklós, Hongarije"":7,""Hilversum"":7,""Dombóvár, Hongarije"":7,""Apeldoorn"":8,""Székesfehérvár, Hongarije"":8,""Gyula, Hongarije"":8,""Haarlem"":8,""Veszprém, Hongarije"":8,""Almere"":8,""Eger, Hongarije"":9,""Vác, Hongarije"":9,""Komló, Hongarije"":9,""Nagykanizsa, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Baja, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Győr, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Szolnok, Hongarije"":14,""Kecskemét, Hongarije"":14,""Den Haag"":15,""Tatabánya, Hongarije"":15,""Rotterdam"":15,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":21,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":36,""Amsterdam"":43,""Boedapest, Hongarije"":213}"
"page_fans_city","day","2024-03-10T08:00:00+0000","{""Zwolle"":5,""Gödöllő, Hongarije"":6,""Alphen aan den Rijn"":6,""Salgótarján, Hongarije"":6,""Hoofddorp"":6,""Ajka, Hongarije"":6,""Kazincbarcika, Hongarije"":6,""Jászberény, Hongarije"":6,""Hajdúszoboszló, Hongarije"":6,""Siklós, Hongarije"":6,""Százhalombatta, Hongarije"":7,""Kiskunhalas, Hongarije"":7,""Hilversum"":7,""Weert"":7,""Szigetszentmiklós, Hongarije"":7,""Dombóvár, Hongarije"":7,""Gyula, Hongarije"":8,""Székesfehérvár, Hongarije"":8,""Eger, Hongarije"":8,""Haarlem"":8,""Komló, Hongarije"":8,""Almere"":8,""Vác, Hongarije"":9,""Veszprém, Hongarije"":9,""Apeldoorn"":9,""Nagykanizsa, Hongarije"":10,""Békéscsaba, Hongarije"":10,""Baja, Hongarije"":10,""Győr, Hongarije"":10,""Dunaújváros, Hongarije"":11,""Kaposvár, Hongarije"":12,""Raab, Hungary"":13,""Kecskemét, Hongarije"":14,""Szolnok, Hongarije"":14,""Tatabánya, Hongarije"":15,""Rotterdam"":15,""Den Haag"":16,""Sopron, Hongarije"":17,""Pécs, Hongarije"":19,""Nyíregyháza, Hongarije"":20,""Szeged, Hongarije"":22,""Debrecen, Hongarije"":33,""Miskolc, Hongarije"":36,""Amsterdam"":44,""Boedapest, Hongarije"":214}"
