"name","period","end_time","value"
"page_fans_country","day","2024-01-07T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":94,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":9,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":527,""BA"":1}"
"page_fans_country","day","2024-01-14T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":94,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":9,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":526,""BA"":1}"
"page_fans_country","day","2024-01-21T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":94,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":9,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":527,""BA"":1}"
"page_fans_country","day","2024-01-28T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":94,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":9,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":527,""BA"":1}"
"page_fans_country","day","2024-02-04T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":94,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":5,""GB"":24,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":527,""BA"":1}"
"page_fans_country","day","2024-02-11T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":5,""GB"":24,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":528,""BA"":1}"
"page_fans_country","day","2024-02-18T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""TR"":1,""NL"":526,""BA"":1}"
"page_fans_country","day","2024-02-25T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":5,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":2,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":524,""BA"":1}"
"page_fans_country","day","2024-03-03T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":2,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":524,""BA"":1}"
"page_fans_country","day","2024-03-10T08:00:00+0000","{""RS"":2,""DE"":18,""BE"":92,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":1}"
"page_fans_country","day","2024-03-17T07:00:00+0000","{""RS"":2,""DE"":18,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":1}"
"page_fans_country","day","2024-03-24T07:00:00+0000","{""RS"":2,""DE"":17,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":11,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":1}"
"page_fans_country","day","2024-03-31T07:00:00+0000","{""RS"":2,""DE"":17,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1185,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":4,""ES"":5,""AT"":8,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":528,""BA"":1}"
"page_fans_country","day","2024-04-07T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":4,""GB"":24,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":3,""ES"":5,""AT"":9,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":2}"
"page_fans_country","day","2024-04-14T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1184,""SA"":3,""SE"":2,""SK"":4,""GB"":24,""US"":6,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":10,""ZA"":1,""IR"":1,""IT"":3,""ES"":5,""AT"":9,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":2}"
"page_fans_country","day","2024-04-21T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1183,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":7,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":9,""ZA"":1,""IR"":1,""IT"":3,""ES"":5,""AT"":10,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":530,""BA"":2}"
"page_fans_country","day","2024-04-28T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":93,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1183,""SA"":3,""SE"":2,""SK"":4,""GB"":23,""US"":7,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":9,""ZA"":1,""IR"":1,""IT"":3,""CO"":1,""ES"":6,""AT"":10,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":529,""BA"":2}"
"page_fans_country","day","2024-05-05T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":93,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1183,""SA"":3,""SE"":2,""SK"":4,""ID"":1,""GB"":23,""US"":7,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":8,""ZA"":1,""IR"":1,""IT"":3,""CO"":1,""ES"":6,""AT"":10,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":531,""BA"":2}"
"page_fans_country","day","2024-05-12T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":92,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1183,""SA"":3,""SE"":2,""SK"":4,""ID"":1,""GB"":23,""US"":7,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":8,""ZA"":1,""IR"":1,""IT"":3,""CO"":1,""ES"":6,""AT"":10,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":532,""BA"":2}"
"page_fans_country","day","2024-05-19T07:00:00+0000","{""RS"":2,""DE"":16,""BE"":92,""PT"":3,""DK"":1,""UA"":1,""FR"":1,""HU"":1186,""SA"":3,""SE"":2,""SK"":4,""ID"":1,""GB"":23,""US"":7,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":8,""ZA"":1,""IR"":1,""IT"":3,""CO"":1,""ES"":6,""AT"":7,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""PL"":1,""RO"":12,""NL"":533,""BA"":2}"
